KPI_ID,KPI_Name,Set,Governance_Area,Scorecard_Area,Objective,Definition,Calculation_Logic,Unit,Target_Type,Target_Status,Evidence_Source,Evidence_Location,Owner,Frequency,Reporting_Audience,Threshold_Interpretation,Leading_Lagging,Criticality,Scope,Inclusion_Exclusion,Evidence_State,Status,Notes
DG-KPI-016,Master Entity Registry Occupancy,Supporting,MDM,MDM,Show Patient and Provider master entities have required registry occupancy,Share of Patient and Provider master entities with required Master Entity Registry occupancy,(Patient and Provider entities with required occupancy ÷ in-scope Patient and Provider master entities) × 100,Percent of entities,Future measurement target,To be established after baseline measurement.,Master Entity Registry,10-master-data-management/,Relevant Core MDM Owner A; Business Data Steward R,Monthly,Domain huddle; Steward Forum,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Patient and Provider Core MDM. Facility supporting-only is not forced to the same bar.,Include: required occupancy for Patient/Provider. Exclude: Facility as Core; physical hub completeness; match scores,Designed,Defined — not evidenced,Logical golden record. Owners: Patient Access & Experience Director (Patient); Medical Affairs Officer (Provider).
DG-KPI-017,Disposal Evidence Completeness,Supporting,Lifecycle,Lifecycle,Show closed disposals have a complete Disposal Record,Share of closed disposals with complete Disposal Record fields occupied,(Closed disposals with complete Disposal Record ÷ closed disposals in cohort) × 100,Percent of disposals,Future measurement target,To be established after baseline measurement.,Disposal Register,11-data-lifecycle/,Data Owner A; DMO register,Quarterly,CDO / DMO; DMC as supporting,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,Medium,Closed disposal events,Include: closed disposals. Exclude: invented disposal timeframes; legal-hold volume as an executive KPI; backup jobs,Designed,Defined — not evidenced,"Legal/regulatory hold remains an override of disposal (Phase 11). Hold volume is a qualitative DMC note, not an executive KPI."
DG-KPI-018,Restricted External Sharing Dual-A Completeness,Supporting,Access / Sharing,Related — not on eight-area face,Confirm Restricted external shares record both As,Share of Restricted external shares with both Data Owner business approval and PDPO privacy review recorded,(Restricted external shares with both As recorded ÷ Restricted external shares in cohort) × 100,Percent of shares,Future measurement target,To be established after baseline measurement.,Access/Sharing Records,04-ownership-stewardship/; Phase 6 sharing procedure,Data Owner A + PDPO A (separate),Monthly,Steward Forum; PDPO; DMC summary,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Restricted external sharing requests,Include: Restricted external shares. Exclude: merging the two As,Designed,Defined — not evidenced,Locked dual-A wording unchanged.
DG-KPI-019,Exception Review Occupancy,Supporting,Issue / Exception,Governance Issues,Show open exceptions have review / compensating-control occupancy,Share of open exceptions with review and compensating-control fields occupied,(Open exceptions with review/compensating-control occupancy ÷ open exceptions) × 100,Percent of exceptions,Future measurement target,To be established after baseline measurement.,Exception Register,06-policies-standards-procedures/procedures/06-data-governance-exception-procedure.md,DMO R; existing exception A,Quarterly,DMC; CDO / DMO,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Open Policy exceptions,Include: open exceptions on the existing procedure. Exclude: a new exception class,Designed,Defined — not evidenced,Supporting companion to DG-KPI-011 stock count.
DG-KPI-020,Executive KPI Evidence Pack Completeness,Supporting,Measurement / Improvement,Related — not on eight-area face,Show executive KPIs have a current evidence pointer,Share of executive KPIs with a current evidence pointer in the KPI Evidence Register,(Executive KPIs with current evidence pointer ÷ 12) × 100,Percent of executive KPIs,Future measurement target,To be established after baseline measurement.,KPI Evidence Register,12-kpis-maturity/26-governance-artifacts.md; this working pack,DMO R,Quarterly,CDO / DMO; DMC as supporting,Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Locked executive set DG-KPI-001–012,Include: pointer to source artifact and occupancy status. Exclude: treating a formula as a result; inventing measured values to complete the pack,Designed,Defined — not evidenced,A pointer that says not evidenced is valid occupancy of the register. Do not fabricate DG-KPI values to look complete.
DG-KPI-WP-001,CDE Completeness Rate,Working-pack supporting,Data Quality,Data Quality,Expose Completeness for in-scope CDEs without replacing the composite or creating a second DQ framework,Share of in-scope measured CDEs whose Completeness dimension is in acceptable status,(In-scope measured CDEs with Completeness in acceptable status ÷ in-scope measured CDEs with Completeness applicable) × 100,Percent of CDEs,Future measurement target,To be established after baseline measurement.,Data Quality Scorecards (Completeness dimension); CDE catalogue,07-data-quality/,Data Owner A for the CDE domain; Business Data Steward R,Monthly domain huddle,Domain huddle; Steward Forum (supporting),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,Medium,"In-scope measured CDEs. Working examples: CDE-001, CDE-002, CDE-003, CDE-007",Include: Completeness as a Phase 7 baseline dimension. Exclude: treating this as an enterprise quality index; adding CDEs,Designed,Defined — not evidenced,Operational input to DG-KPI-005. Not an executive cover-sheet KPI. Not Measured. Completeness is already a Phase 7 dimension — this ID only names it for the reporting pack.
DG-KPI-WP-002,Data Quality Rule Pass Rate,Working-pack supporting,Data Quality,Data Quality,Show whether executed quality rules passed in the cohort — when a live execution process exists,Share of Data Quality rules executed in the period that passed,(DQ rules executed that passed in period ÷ DQ rules executed in period) × 100 — cohort must be stated,Percent of executed rules,Future measurement target,To be established after baseline measurement.,Data Quality Rule Registry / execution log (proposed),07-data-quality/05-quality-rules.md,Data Owner A; Business Data Steward R; Custodian consulted on measurement method,Monthly (when execution exists — not claimed),Domain huddle; Steward Forum (supporting),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Do not report a pass rate if rules were not executed.,Lagging,Medium,"Rules executed for in-scope CDEs. Working examples prioritize Patient, Clinical, Financial CDEs.",Include: executed rules with a pass/fail outcome. Exclude: counting designed-but-unexecuted rules as 100% pass; enterprise index,Designed,Defined — not evidenced,Phase 7 rules are Designed. No live execution log exists. This KPI stays not evidenced until rules are run under governance.
DG-KPI-WP-003,MVP Catalog Asset Owner Occupancy,Working-pack supporting,Ownership,Ownership,Show MVP catalog assets have an assigned Data Owner at asset level — distinct from domain-title coverage (DG-KPI-001),Share of MVP catalog assets with Data Owner populated,(MVP catalog assets with Data Owner populated ÷ MVP catalog assets in scope) × 100,Percent of assets,Future measurement target,To be established after baseline measurement.,Metadata inventory Owner field,08-metadata-catalog/working-pack/metadata-inventory/,Data Owner A for content; DMO method,Monthly,Steward Forum; Data Owners (supporting),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Lagging,Medium,"Phase 8 catalog MVP assets in Patient, Clinical, Financial domains",Include: MVP catalog assets. Exclude: expanding MVP; treating teaching-inventory occupancy as a Rafid performance result,Designed,Defined — not evidenced,Source inventory is Operational (project). Do not publish a percentage from the teaching file as a measured KPI. Complements DG-KPI-001 (domains) and DG-KPI-004 (mandatory metadata).
DG-KPI-WP-004,Critical Lineage Review Occupancy,Working-pack supporting,Lineage,Lineage,Show Critical lineage records were reviewed in the required forum cycle,Share of Critical lineage records with Last Reviewed inside the required review cycle,(Critical lineage records with Last Reviewed in the required Phase 3 review cycle ÷ Critical lineage records in scope) × 100,Percent of records,Future measurement target,To be established after baseline measurement.,Lineage Register Last Reviewed,09-data-lineage/working-pack/lineage-inventory/,Data Owner A; Business Data Steward R,Monthly,Steward Forum (supporting),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Cycle-based; no invented day SLA.,Leading,Medium,Critical lineage records; three MVP domains,Include: Critical rows and forum-cycle review. Exclude: fabricated day-count targets; treating teaching dates as a live review programme,Designed,Defined — not evidenced,Distinct from DG-KPI-015 (field completeness). Teaching Last Reviewed dates in the register are not a measured review programme.
DG-KPI-WP-005,MVP Lifecycle Status Occupancy,Working-pack supporting,Lifecycle,Lifecycle,Show MVP catalog assets have Lifecycle Status populated — distinct from Retention Rule coverage (DG-KPI-009),Share of MVP catalog assets with Lifecycle Status populated,(MVP catalog assets with Lifecycle Status populated ÷ MVP catalog assets in scope) × 100,Percent of assets,Future measurement target,To be established after baseline measurement.,Metadata inventory Lifecycle Status field,08-metadata-catalog/working-pack/metadata-inventory/,Data Owner A (Phase 4 row 10); Business Data Steward R,Monthly,Steward Forum (supporting),Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance.,Leading,Medium,Phase 8 catalog MVP assets,Include: populated Lifecycle Status. Exclude: invented retention periods; treating status occupancy as legal clock compliance,Designed,Defined — not evidenced,Lifecycle Status is a Phase 8 required publish field. This ID names occupancy for the lifecycle scorecard row without duplicating DG-KPI-004.
DG-KPI-WP-006,Open Data Quality Issues,Working-pack supporting,Issue / Exception,Governance Issues,Make open DQ issue stock visible alongside exception count and closure rate,Count of open Data Quality issues at period end,Count (open DQ issue status),Count of issues,Future measurement target,To be established after baseline measurement.,Data Quality Issue records,06-policies-standards-procedures/procedures/03-data-quality-issue-management-procedure.md; 07-data-quality/,Data Owner A; Business Data Steward R; DMO monitoring,Monthly Steward Forum; weekly DMO triage,DMO huddle; Steward Forum (supporting),"Not evidenced. Do not treat empty occupancy as 0% or 100%. Proposed portfolio threshold: set after baseline. Any teaching number is [A] Illustrative Rafid target — not Rafid performance. Stock is context, not a slogan target of zero without risk discussion.",Lagging,Medium,Open DQ issues on the existing procedure path,Include: open DQ issues. Exclude: Policy exceptions (DG-KPI-011); Phase 14 working-pack risk rows; invented SLAs,Designed,Defined — not evidenced,Companion stock to DG-KPI-006 (closure) and DG-KPI-012 (Critical aging). Not an executive cover-sheet KPI.
